"Название","Ссылка","Тип","Дата.поста"
"Разбор книги разумный инвестор","https://t.me/usamarke1/462","Обучение",2020-05-30
"Почему дивидендная стратегия подходит не всем?","https://t.me/usamarke1/481","Обучение",2020-06-01
"NASDAQ, S&P 500, Dow Jones","https://t.me/usamarke1/499","Обучение",2020-06-03
"Структура секторов S&P 500","https://t.me/usamarke1/534","Разбор сектора",2020-06-08
"Акции роста","https://t.me/usamarke1/594","Обучение",2020-06-16
"Капитализация","https://t.me/usamarke1/607","Обучение",2020-06-17
"Почему не стоит инвестировать в российские акции?","https://t.me/c/1345338250/424","Обучение",2020-06-17
"Сравнение доходностей мировых индексов","https://t.me/usamarke1/612","Обучение",2020-06-18
"Выборы в США 2020","https://t.me/usamarke1/622","Аналитика",2020-06-19
"Стоимостные акции","https://t.me/usamarke1/643","Обучение",2020-06-22
"История Netflix","https://t.me/usamarke1/660","Обучение",2020-06-24
"Голубые фишки","https://t.me/usamarke1/664","Обучение",2020-06-25
"Банкротство Chesapeake Energy","https://t.me/usamarke1/663","Аналитика",2020-06-25
"Фундаментальный анализ","https://t.me/usamarke1/685","Обучение",2020-06-28
"Плюсы и минусы дивидендной стратегии","https://t.me/usamarke1/688","Обучение",2020-06-29
"Р/В","https://t.me/usamarke1/696","Обучение",2020-06-30
"Компании малой капитализации","https://t.me/usamarke1/711","Обучение",2020-07-02
"Технологический сектор (ч. 3)","https://t.me/usamarke1/717","Разбор сектора",2020-07-03
"5 акций, которые превратили $ 1000 в $ 1 млн","https://t.me/usamarke1/714","Аналитика",2020-07-03
"P/E","https://t.me/usamarke1/730","Обучение",2020-07-06
"Как определить компанию, которая в скором времени обанкротиться и как анализировать инвест идеи","https://t.me/usamarke1/740","Аналитика",2020-07-07
"Дивидендный миф","https://t.me/usamarke1/744","Обучение",2020-07-08
"Сравнение долей секторов фондового рынка","https://t.me/usamarke1/756","Разбор сектора",2020-07-10
"Сравнение доходности секторов в России и США","https://t.me/usamarke1/766","Разбор сектора",2020-07-12
"Как выбирать дивидендные акции в свой портфель","https://t.me/usamarke1/778","Обучение",2020-07-14
"Сектор потребительских товаров вторичной необходимости (ч. 1)","https://t.me/usamarke1/797","Разбор сектора",2020-07-17
"PEG","https://t.me/usamarke1/808","Обучение",2020-07-19
"Постановка инвестиционных целей","https://t.me/usamarke1/815","Обучение",2020-07-21
"Инвестиции в VR","https://t.me/usamarke1/814","Тренды",2020-07-21
"Сектор потребительских товаров вторичной необходимости (ч. 2)","https://t.me/usamarke1/833","Разбор сектора",2020-07-24
"ROE","https://t.me/usamarke1/837","Обучение",2020-07-25
"ROA","https://t.me/usamarke1/851","Обучение",2020-07-27
"Биотехнологии и риски","https://t.me/usamarke1/861","Тренды",2020-07-28
"Разбор портфеля подписчика 1","https://t.me/usamarke1/862","Аналитика портфелей",2020-07-28
"Сектор коммунальных услуг","https://t.me/usamarke1/916","Разбор сектора",2020-08-05
"Разбор портфеля подписчика 2","https://t.me/usamarke1/922","Аналитика портфелей",2020-08-06
"EPS","https://t.me/usamarke1/936","Обучение",2020-08-09
"Технологии VR/AR, через какие компании можно инвестировать?","https://t.me/usamarke1/942","Тренды",2020-08-10
"EBITDA","https://t.me/usamarke1/962","Обучение",2020-08-13
"Финансовый сектор (ч. 1)","https://t.me/usamarke1/970","Разбор сектора",2020-08-14
"Почему не стоит доверять прогнозам инвест домов?","https://t.me/usamarke1/982","Аналитика",2020-08-17
"Постановка инвест цели","https://t.me/usamarke1/991","Обучение",2020-08-19
"Литий","https://t.me/usamarke1/992","Тренды",2020-08-19
"P/S","https://t.me/usamarke1/999","Обучение",2020-08-20
"Финансовый сектор (ч. 2)","https://t.me/usamarke1/1003","Разбор сектора",2020-08-21
"Сравнение американских фарм компаний","https://t.me/usamarke1/1014","Сравнение компаний",2020-08-24
