"Страна","Название","Тикер","Разбор","Инвест.идея","Новинка","Дата","Дата.идеи","Дата.новинки","Сектор","Индустрия","Оценка"
"🇧🇷 Бразилия","Vale S.A.","VALE","https://t.me/usamarke1/1936",NA,NA,2021-03-18,NA,NA,"Базовые материалы","Другие промышленные металлы и горнодобывающая промышленность","2"
"🇧🇷 Бразилия","PagSeguro","PAGS","https://t.me/usamarke1/1505","https://t.me/usamarke1/1954",NA,2020-12-04,2021-03-23,NA,"Финансовый","Программное обеспечение - инфраструктура","4"
"🇧🇷 Бразилия","XP","XP","https://t.me/usamarke1/2244",NA,NA,2021-05-27,NA,NA,"Финансовый","Рынки капитала","4"
"🇬🇧 Великобритания","Linde","LIN","https://t.me/usamarke1/2694",NA,NA,2021-09-02,NA,NA,"Базовые материалы","Специализированная химия","4"
"🇬🇧 Великобритания","Farfetch","FTCH","https://t.me/usamarke1/1810",NA,NA,2021-02-17,NA,NA,"Циклический потребительский сектор","Розничная торговля через Интернет","4"
"🇩🇪 Германия","Bayer","BAYN","https://t.me/usamarke1/1358",NA,NA,2020-11-04,NA,NA,"Здравоохранение","Производители лекарств - общие","2"
"🇩🇪 Германия","SAP","SAP","https://t.me/usamarke1/2384",NA,NA,2021-06-29,NA,NA,"Технологии","Программное обеспечение - приложения","3"
"🇩🇪 Германия","Puma","PUM","https://t.me/usamarke1/2139",NA,NA,2021-05-04,NA,NA,"Циклический потребительский сектор","Обувь и аксессуары","4"
"🇩🇪 Германия","Evotec SE","EVT","https://t.me/usamarke1/2207",NA,NA,2021-05-19,NA,NA,"Здравоохранение","Закрытые фонды - Акции","3"
"🇩🇪 Германия","Delivery Hero","DHER","https://t.me/usamarke1/2793",NA,NA,2021-09-23,NA,NA,"Технологии","Программное обеспечение - приложения","4"
"🇩🇪 Германия","Merck KGaA","MRK@DE","https://t.me/usamarke1/2656",NA,NA,2021-08-25,NA,NA,"Здравоохранение","Медицинские приборы","4"
"🇩🇪 Германия","BMW","BMWG","https://t.me/usamarke1/1145",NA,NA,2020-09-18,NA,NA,"Циклический потребительский сектор","Автопроизводители","3"
"🇩🇪 Германия","Infineon Technologies","IFX","https://t.me/usamarke1/1197",NA,NA,2020-10-02,NA,NA,"Технологии","Полупроводники","4"
"🇩🇪 Германия","Volkswagen","VOW3","https://t.me/usamarke1/1985",NA,NA,2021-03-30,NA,NA,"Циклический потребительский сектор","Автопроизводители","4"
"🇩🇪 Германия","Adidas","ADS","https://t.me/usamarke1/1287",NA,NA,2020-10-22,NA,NA,"Циклический потребительский сектор","Обувь и аксессуары","5"
"🇩🇪 Германия","Carl Zeiss","AFX","https://t.me/usamarke1/1399",NA,NA,2020-11-12,NA,NA,"Здравоохранение","Медицинские приборы","3"
"🇩🇪 Германия","Allianz","ALV","https://t.me/usamarke1/2661",NA,NA,2021-08-26,NA,NA,"Финансовый","Страхование - имущество и страхование от несчастных случаев","3"
"🇩🇪 Германия","Siemens","SIE","https://t.me/usamarke1/2717",NA,NA,2021-09-07,NA,NA,"Промышленность","Специализированное промышленное оборудование","4"
"🇮🇱 Израиль","Solaredge","SEDG","https://t.me/usamarke1/1414",NA,NA,2020-11-16,NA,NA,"Технологии","Солнечная энергия","3"
"🇮🇱 Израиль","Global-E Online Ltd.","GLBE","https://t.me/usamarke1/2716",NA,"https://t.me/usamarke1/2716",2021-09-07,NA,2021-09-07,"Циклический потребительский сектор","Розничная торговля через Интернет","New"
"🇮🇱 Израиль","Check Point Software Technologies","CHKP","https://t.me/usamarke1/1800 ",NA,NA,2021-02-15,NA,NA,"Технологии","Программное обеспечение - приложения","3"
"🇮🇱 Израиль","InMode","INMD","https://t.me/usamarke1/2087",NA,NA,2021-04-21,NA,NA,"Здравоохранение","Медицинские приборы","4"
"🇮🇪 Ирландия","Trane Technologies","TT","https://t.me/usamarke1/1589",NA,NA,2020-12-20,NA,NA,"Промышленность","Специализированное промышленное оборудование","3"
"🇮🇪 Ирландия","Accenture","ACN","https://t.me/usamarke1/2042",NA,NA,2021-04-10,NA,NA,"Технологии","Услуги в области информационных технологий","5"
"🇮🇪 Ирландия","ICON plc","ICLR","https://t.me/usamarke1/2660",NA,"https://t.me/usamarke1/2660",2021-08-26,NA,2021-08-26,"Здравоохранение","Диагностика и исследования","New"
"🇮🇪 Ирландия","Medtronic","MDT","https://t.me/usamarke1/1333",NA,NA,2020-10-30,NA,NA,"Здравоохранение","Медицинские приборы","4"
"🇮🇪 Ирландия","Allegion","ALLE","https://t.me/usamarke1/2175 ",NA,NA,2021-05-12,NA,NA,"Промышленность","Услуги в области безопасности и защиты","3"
"🇨🇦 Канада","Royal Bank of Canada","RY","https://t.me/usamarke1/2748",NA,"https://t.me/usamarke1/2748",2021-09-14,NA,2021-09-14,"Финансовый","Банки - диверсифицированные","New"
"🇨🇦 Канада","Barrick Gold Corporation","GOLD","https://t.me/usamarke1/2576",NA,NA,2021-08-06,NA,NA,"Базовые материалы","Золото","3"
"🇨🇦 Канада","Thomson Reuters Corp.","TRI","https://t.me/usamarke1/2741",NA,"https://t.me/usamarke1/2741",2021-09-13,NA,2021-09-13,"Промышленность","Консалтинговые услуги","New"
"🇨🇦 Канада","Pan American Silver Corp.","PAAS","https://t.me/usamarke1/2754",NA,"https://t.me/usamarke1/2754",2021-09-15,NA,2021-09-15,"Базовые материалы","Серебро","New"
"🇨🇦 Канада","Cameco Corp.","CCJ","https://t.me/usamarke1/2802",NA,"https://t.me/usamarke1/2728",2021-09-24,NA,2021-09-09,"Энергетика","Уран","3"
"🇨🇦 Канада","Lululemon Athletica","LULU","https://t.me/usamarke1/2078",NA,NA,2021-04-19,NA,NA,"Циклический потребительский сектор","Розничная торговля одеждой","5"
"🇨🇦 Канада","Magna International","MGA","https://t.me/usamarke1/2760",NA,"https://t.me/usamarke1/2760",2021-09-16,NA,2021-09-16,"Циклический потребительский сектор","Автозапчасти","New"
"🇨🇦 Канада","Shopify","SHOP","https://t.me/usamarke1/2681",NA,"https://t.me/usamarke1/2681",2021-08-31,NA,2021-08-31,"Технологии","Программное обеспечение - приложения","New"
"🇨🇦 Канада","Canadian National Railway Company","CNI","https://t.me/usamarke1/2728",NA,"https://t.me/usamarke1/2728",2021-09-09,NA,2021-09-09,"Промышленность","Железные дороги","New"
